位置表,,,,
DATA,Position,,,
BOTH,NONE,BOTH,BOTH,BOTH
ID,Desc,X,Y,Z
ID,描述,x,x,x
INT32,STRING,INT32,INT32,INT32
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
1,insert_课程1_组1_0,440,-310,2420
2,insert_课程1_组2_0,-760,-290,9260
3,insert_课程1_组3_0,-50,390,18280
4,insert_课程2_组1_0,440,-760,2690
5,insert_课程2_组2_0,-2610,530,11660
6,insert_课程2_组3_0,-12310,-100,12990
7,insert_课程3_组1_0,440,-310,3420
8,insert_课程3_组2_0,-5060,230,7170
9,insert_课程3_组3_0,-11825,-920,9330
